account_id,room_id,msg,time,type
t_user_643,tgt_grp_009,2bbb56c390f105112a9712295069f43e,1759937007,video
t_user_787,tgt_grp_006,没问题 lol,1768984766,text
t_user_115,tgt_grp_017,Happy Lantern Festival!,1756291829,text
t_user_787,tgt_grp_012,没问题,1742788360,text
t_user_725,tgt_grp_004,说好的减肥又点了外卖,1763952335,text
t_user_275,tgt_grp_015,老同学们都变了好多,1752279074,text
t_user_306,tgt_grp_014,坚持跑步第30天,1751956746,text
t_user_697,tgt_grp_008,c80cff580849d31048332aa09b935625,1759386455,photo
t_user_795,tgt_grp_003,航班delay了哈哈,1743826641,text
t_user_020,tgt_grp_010,Client was in good mood today.,1752290792,text
t_user_757,tgt_grp_001,MacBook Pro真的生产力工具,1762665714,text
t_user_643,tgt_grp_006,这周末一起撸串,1762875635,text
t_user_204,tgt_grp_003,端午快乐你们吃甜粽还是咸粽,1765958165,text
t_user_446,tgt_grp_003,数据库挂了在线等急,1758305119,text
t_user_522,tgt_grp_008,这周末一起撸串,1770785716,text
t_user_068,tgt_grp_004,325e3a219bc19277a61be69521cb643f,1747262843,photo
t_user_672,tgt_grp_007,今天天气真好适合出去走走,1758783689,text
t_user_058,tgt_grp_006,3c16f3b0144efc4c4b09ba3175a243f2,1766387554,photo
t_user_274,tgt_grp_018,Happy Lantern Festival!,1747881932,text
t_user_275,tgt_grp_015,7335d747815390d97349ba1049113838,1751335393,photo
t_user_624,tgt_grp_007,终于抢到演唱会门票了,1760136940,text
t_user_480,tgt_grp_018,Client was in good mood today.,1742136885,text
t_user_143,tgt_grp_010,Happy Lantern Festival!,1736341485,text
t_user_033,tgt_grp_006,610a9028533d1749db61b7eed9b7f897,1771323105,photo
t_user_246,tgt_grp_016,雨天窝在家追剧最舒服,1750576643,text
t_user_020,tgt_grp_015,终于拿到驾照了,1755308901,text
t_user_372,tgt_grp_007,debug了一整天终于搞定了,1740029138,text
t_user_520,tgt_grp_011,22f94a27ff53c1a28c51db816c9b8874,1768961083,photo
t_user_409,tgt_grp_007,加油加油👍,1771114724,text
t_user_247,tgt_grp_015,National holiday planning done,1749364133,text
t_user_522,tgt_grp_000,快递怎么还没到,1767769205,text
t_user_115,tgt_grp_017,8812d068208c44a5d8e9b4cd7c35a4c4,1762593063,photo
t_user_754,tgt_grp_003,今天天气真好适合出去走走,1765328078,text
t_user_012,tgt_grp_000,手机又该换了,1751037599,text
t_user_094,tgt_grp_009,试着做了顿大餐 lol,1748082369,text
t_user_657,tgt_grp_000,热到融化,1751251981,text
t_user_113,tgt_grp_003,雨天窝在家追剧最舒服,1753016210,text
t_user_157,tgt_grp_002,雨天窝在家追剧最舒服,1771730039,text
t_user_049,tgt_grp_007,路上太堵了,1735876322,text
t_user_512,tgt_grp_007,说好的减肥又点了外卖～,1761194546,text
t_user_506,tgt_grp_019,火锅真的太好吃了吧,1752275221,text
t_user_553,tgt_grp_012,雨天窝在家追剧最舒服,1754834008,text
t_user_702,tgt_grp_007,追剧追到停不下来,1739028208,text
t_user_672,tgt_grp_007,这周末一起撸串,1746337167,text
t_user_217,tgt_grp_004,Happy Lantern Festival!,1753693180,text
t_user_217,tgt_grp_011,1caa9762b028b4b07d3f0242c557cc7d,1765502900,video
t_user_725,tgt_grp_005,爬山虽然累但是值得,1745134736,text
t_user_113,tgt_grp_010,终于搬完家了太折腾了,1740920547,text
t_user_058,tgt_grp_007,Docker学起来还行,1749807576,text
t_user_702,tgt_grp_005,dc316672d6b85767bed54892036b6147,1749366504,photo
t_user_383,tgt_grp_001,Docker学起来还行,1746003394,text
t_user_383,tgt_grp_017,说好的减肥又点了外卖,1739190060,text
t_user_253,tgt_grp_011,Happy Lantern Festival!,1767459146,text
t_user_068,tgt_grp_016,手机又该换了哈哈,1755138680,text
t_user_323,tgt_grp_005,终于拿到驾照了 haha,1746407668,text
t_user_164,tgt_grp_017,MacBook Pro真的生产力工具,1748916852,text
t_user_225,tgt_grp_004,Docker学起来还行,1772085253,text
t_user_739,tgt_grp_011,f5f74c98d74aef784b7bbb8f2224be26,1763538563,video
t_user_001,tgt_grp_001,坚持跑步第30天,1761470035,text
t_user_614,tgt_grp_019,火锅真的太好吃了吧,1757492143,text
t_user_217,tgt_grp_011,Happy Lantern Festival!,1737455437,text
t_user_702,tgt_grp_006,This song is on repeat so good,1766667192,text
t_user_734,tgt_grp_016,终于抢到演唱会门票了,1744331451,text
t_user_763,tgt_grp_015,debug了一整天终于搞定了,1764071868,text
t_user_142,tgt_grp_004,debug了一整天终于搞定了,1747202079,text
t_user_657,tgt_grp_010,Docker学起来还行,1764551541,text
t_user_470,tgt_grp_003,试着做了顿大餐,1766662506,text
t_user_501,tgt_grp_018,又失眠了好烦,1742289073,text
t_user_115,tgt_grp_009,National holiday planning done,1743934370,text
t_user_270,tgt_grp_007,中秋节快乐今晚赏月👍,1762497046,text
t_user_217,tgt_grp_007,推理小说真的很上头,1742288745,text
t_user_162,tgt_grp_000,Docker学起来还行,1763536579,text
t_user_020,tgt_grp_015,好想念大学同学们,1747276025,text
t_user_765,tgt_grp_011,c92c8bb0db6b523cce60d13a887fef02,1737112784,video
t_user_274,tgt_grp_001,This song is on repeat so good,1740046742,text
t_user_655,tgt_grp_018,Happy New Year新年好,1753202603,text
t_user_143,tgt_grp_001,好想念大学同学们,1754031564,text
t_user_306,tgt_grp_014,终于拿到驾照了,1757468252,text
t_user_066,tgt_grp_010,Client was in good mood today.,1761114441,text
t_user_734,tgt_grp_016,b798596b8beb5219491953ede973cd5c,1741298269,video
t_user_433,tgt_grp_009,484ea0dd8e3597201e94cc90cb4b0840,1736487887,video
t_user_068,tgt_grp_016,端午快乐你们吃甜粽还是咸粽,1767660986,text
t_user_162,tgt_grp_004,Happy Lantern Festival!,1769667248,text
t_user_270,tgt_grp_009,Python是最好的语言,1743505128,text
t_user_094,tgt_grp_009,手机又该换了,1769419507,text
t_user_739,tgt_grp_009,坚持跑步第30天,1741309501,text
t_user_406,tgt_grp_005,终于拿到驾照了,1738465381,text
t_user_544,tgt_grp_016,推理小说真的很上头,1738024373,text
t_user_513,tgt_grp_010,08aca13cb1cff19dc2b247f4f0524271,1741429154,video
t_user_162,tgt_grp_000,Docker学起来还行,1740469334,text
t_user_157,tgt_grp_002,b739598f6c052b34335d71290608d3b9,1737850341,video
t_user_763,tgt_grp_010,13eab1fbdd39d9b6413196c6a0831aad,1770111236,photo
t_user_115,tgt_grp_017,追剧追到停不下来,1740384217,text
t_user_439,tgt_grp_011,今天天气真好适合出去走走,1735804738,text
t_user_060,tgt_grp_002,豆浆油条是早餐的灵魂,1745025629,text
t_user_301,tgt_grp_009,划水中,1765794416,text
t_user_657,tgt_grp_000,MacBook Pro真的生产力工具,1748981265,text
t_user_166,tgt_grp_013,7830cb5776ddc7e06b24577f0ded22cc,1762511461,video
t_user_439,tgt_grp_011,终于抢到演唱会门票了,1770634995,text
t_user_657,tgt_grp_014,MacBook Pro真的生产力工具,1757210994,text
t_user_246,tgt_grp_016,今天天气真好适合出去走走,1752727852,text
t_user_752,tgt_grp_002,Python是最好的语言 haha,1760086436,text
t_user_797,tgt_grp_008,又失眠了好烦,1754391861,text
t_user_333,tgt_grp_007,加油加油,1736698384,text
t_user_752,tgt_grp_017,New teammate is pretty cool.,1737973433,text
t_user_512,tgt_grp_007,说好的减肥又点了外卖,1738588743,text
t_user_567,tgt_grp_012,爬山虽然累但是值得,1753371199,text
t_user_702,tgt_grp_016,The pace of AI is insane👍,1746373706,text
